TA position	Plate	Row	Column	Well Hits	Location	Annotation
2592552	3	A	2	1	gene	ID=gene2557;Name=ERDMAN_2558;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2558
2613110	3	A	3	1	intergenic/unannotated	NA
2278919	3	A	4	1	gene	ID=gene2249;Name=ERDMAN_2250;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2250
1328458	3	A	5	1	gene	ID=gene1328;Name=rocA;gbkey=Gene;gene=rocA;gene_biotype=protein_coding;locus_tag=ERDMAN_1329
197691	3	A	6	2	gene	ID=gene192;Name=yrbE1B;gbkey=Gene;gene=yrbE1B;gene_biotype=protein_coding;locus_tag=ERDMAN_0193
3929530	3	A	6	2	intergenic/unannotated	NA
1339145	3	A	7	2	intergenic/unannotated	NA
2612631	3	A	7	2	intergenic/unannotated	NA
869528	3	A	8	1	gene	ID=gene857;Name=ERDMAN_0858;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0858
1848971	3	A	9	1	intergenic/unannotated	NA
4131421	3	A	10	1	gene	ID=gene4060;Name=ERDMAN_4061;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4061
3232040	3	A	11	1	intergenic/unannotated	NA
3302534	3	A	12	1	intergenic/unannotated	NA
2014919	3	B	1	2	gene	ID=gene1973;Name=cyp143;gbkey=Gene;gene=cyp143;gene_biotype=protein_coding;locus_tag=ERDMAN_1974
2361513	3	B	1	2	intergenic/unannotated	NA
1174761	3	B	2	2	intergenic/unannotated	NA
3885889	3	B	2	2	intergenic/unannotated	NA
1349581	3	B	3	1	gene	ID=gene1349;Name=fadD6;gbkey=Gene;gene=fadD6;gene_biotype=protein_coding;locus_tag=ERDMAN_1350
2142093	3	B	4	1	gene	ID=gene2095;Name=ERDMAN_2096;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2096
2158515	3	B	5	1	gene	ID=gene2110;Name=ERDMAN_2111;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2111
2978677	3	B	6	2	gene	ID=gene2936;Name=ERDMAN_2937;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2937
3559216	3	B	6	2	gene	ID=gene3510;Name=ERDMAN_3511;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3511
1283777	3	B	7	1	gene	ID=gene1300;Name=pimE;gbkey=Gene;gene=pimE;gene_biotype=protein_coding;locus_tag=ERDMAN_1301
1865859	3	B	8	1	gene	ID=gene1828;Name=pks8;gbkey=Gene;gene=pks8;gene_biotype=protein_coding;locus_tag=ERDMAN_1829
2379928	3	B	9	1	gene	ID=gene2340;Name=ERDMAN_2341;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2341
2386743	3	B	10	2	gene	ID=gene2349;Name=ERDMAN_2350;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2350
756439	3	B	10	2	intergenic/unannotated	NA
1776651	3	B	11	1	gene	ID=gene1751;Name=ERDMAN_1752;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1752
2869461	3	B	12	1	intergenic/unannotated	NA
2379112	3	C	1	1	intergenic/unannotated	NA
1422574	3	C	2	1	intergenic/unannotated	NA
1940088	3	C	3	1	gene	ID=gene1902;Name=ERDMAN_1903;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1903
2977662	3	C	4	2	gene	ID=gene2935;Name=ERDMAN_2936;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2936
3064540	3	C	4	2	gene	ID=gene3033;Name=PPE43;gbkey=Gene;gene=PPE43;gene_biotype=protein_coding;locus_tag=ERDMAN_3034
2204047	3	C	5	1	gene	ID=gene2167;Name=mce3D;gbkey=Gene;gene=mce3D;gene_biotype=protein_coding;locus_tag=ERDMAN_2168
4112434	3	C	6	1	gene	ID=gene4040;Name=ERDMAN_4041;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4041
3712452	3	C	7	1	gene	ID=gene3658;Name=metX;gbkey=Gene;gene=metX;gene_biotype=protein_coding;locus_tag=ERDMAN_3659
180120	3	C	8	1	gene	ID=gene175;Name=ERDMAN_0176;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0176
1076702	3	C	9	1	intergenic/unannotated	NA
789273	3	C	10	1	gene	ID=gene757;Name=fabG;gbkey=Gene;gene=fabG;gene_biotype=protein_coding;locus_tag=ERDMAN_0758
4342864	3	C	11	1	intergenic/unannotated	NA
1696085	3	C	12	3	gene	ID=gene1684;Name=gmdA;gbkey=Gene;gene=gmdA;gene_biotype=protein_coding;locus_tag=ERDMAN_1685
2213551	3	C	12	3	gene	ID=gene2177;Name=ERDMAN_2178;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2178
3882872	3	C	12	3	intergenic/unannotated	NA
4038907	3	D	1	1	gene	ID=gene3960;Name=ephA;gbkey=Gene;gene=ephA;gene_biotype=protein_coding;locus_tag=ERDMAN_3961
1951501	3	D	2	1	gene	ID=gene1913;Name=ERDMAN_1914;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1914
2006739	3	D	3	2	gene	ID=gene1970;Name=malQ;gbkey=Gene;gene=malQ;gene_biotype=protein_coding;locus_tag=ERDMAN_1971
3331075	3	D	3	2	gene	ID=gene3270;Name=mutT1;gbkey=Gene;gene=mutT1;gene_biotype=protein_coding;locus_tag=ERDMAN_3271
3433809	3	D	4	1	gene	ID=gene3372;Name=virS;gbkey=Gene;gene=virS;gene_biotype=protein_coding;locus_tag=ERDMAN_3373
2440145	3	D	5	1	gene	ID=gene2403;Name=fadD15;gbkey=Gene;gene=fadD15;gene_biotype=protein_coding;locus_tag=ERDMAN_2404
3458000	3	D	6	1	gene	ID=gene3398;Name=ERDMAN_3399;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3399
3894597	3	D	7	1	gene	ID=gene3821;Name=ERDMAN_3822;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3822
2741706	3	D	8	1	intergenic/unannotated	NA
1126436	3	D	9	1	gene	ID=gene1120;Name=tatD;gbkey=Gene;gene=tatD;gene_biotype=protein_coding;locus_tag=ERDMAN_1121
2372246	3	D	10	2	gene	ID=gene2335;Name=ERDMAN_2336;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2336
2788526	3	D	10	2	intergenic/unannotated	NA
1190990	3	D	11	1	gene	ID=gene1192;Name=ERDMAN_1193;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1193
3730311	3	D	12	1	gene	ID=gene3664;Name=PPE55;gbkey=Gene;gene=PPE55;gene_biotype=protein_coding;locus_tag=ERDMAN_3665
1978170	3	E	1	1	gene	ID=gene1937;Name=mmpl14;gbkey=Gene;gene=mmpl14;gene_biotype=protein_coding;locus_tag=ERDMAN_1938
2135140	3	E	2	1	intergenic/unannotated	NA
970596	3	E	3	1	gene	ID=gene966;Name=ERDMAN_0967;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0967
3978119	3	E	4	2	gene	ID=gene3901;Name=ERDMAN_3902;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3902
66673	3	E	4	2	gene	ID=gene71;Name=celA1;gbkey=Gene;gene=celA1;gene_biotype=protein_coding;locus_tag=ERDMAN_0072
2383676	3	E	5	1	gene	ID=gene2345;Name=ERDMAN_2346;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2346
2996683	3	E	7	1	gene	ID=gene2953;Name=ceoB;gbkey=Gene;gene=ceoB;gene_biotype=protein_coding;locus_tag=ERDMAN_2954
1100838	3	E	8	1	intergenic/unannotated	NA
3830827	3	E	9	2	intergenic/unannotated	NA
4308445	3	E	9	2	intergenic/unannotated	NA
4105446	3	E	10	1	gene	ID=gene4032;Name=ERDMAN_4033;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4033
1841364	3	E	11	1	gene	ID=gene1811;Name=ERDMAN_1812;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1812
3452707	3	E	12	1	gene	ID=gene3388;Name=lipY;gbkey=Gene;gene=lipY;gene_biotype=protein_coding;locus_tag=ERDMAN_3389
1511395	3	F	1	1	gene	ID=gene1505;Name=fadE14;gbkey=Gene;gene=fadE14;gene_biotype=protein_coding;locus_tag=ERDMAN_1506
2841091	3	F	2	2	gene	ID=gene2783;Name=ERDMAN_2784;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2784
446141	3	F	2	2	gene	ID=gene407;Name=ERDMAN_0408;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0408
1214567	3	F	3	1	gene	ID=gene1218;Name=celA2b;gbkey=Gene;gene=celA2b;gene_biotype=protein_coding;locus_tag=ERDMAN_1219
3071058	3	F	4	1	gene	ID=gene3041;Name=ERDMAN_3042;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3042
3041214	3	F	5	1	gene	ID=gene3002;Name=ERDMAN_3003;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3003
1050366	3	F	6	1	gene	ID=gene1043;Name=ERDMAN_1044;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1044
1603186	3	F	8	1	gene	ID=gene1590;Name=ERDMAN_1591;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1591
2347022	3	F	9	1	gene	ID=gene2309;Name=helY;gbkey=Gene;gene=helY;gene_biotype=protein_coding;locus_tag=ERDMAN_2310
1209060	3	F	10	1	intergenic/unannotated	NA
2685591	3	F	11	1	gene	ID=gene2636;Name=subI;gbkey=Gene;gene=subI;gene_biotype=protein_coding;locus_tag=ERDMAN_2637
1080474	3	F	12	1	gene	ID=gene1076;Name=ERDMAN_1077;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1077
1857841	3	G	1	2	gene	ID=gene1826;Name=pks10;gbkey=Gene;gene=pks10;gene_biotype=protein_coding;locus_tag=ERDMAN_1827
3820646	3	G	1	2	gene	ID=gene3740;Name=rimI;gbkey=Gene;gene=rimI;gene_biotype=protein_coding;locus_tag=ERDMAN_3741
963401	3	G	2	1	intergenic/unannotated	NA
2617270	3	G	3	2	gene	ID=gene2580;Name=plcA;gbkey=Gene;gene=plcA;gene_biotype=protein_coding;locus_tag=ERDMAN_2581
3893411	3	G	3	2	intergenic/unannotated	NA
1613223	3	G	4	2	gene	ID=gene1600;Name=bisC;gbkey=Gene;gene=bisC;gene_biotype=protein_coding;locus_tag=ERDMAN_1601
394790	3	G	4	2	gene	ID=gene362;Name=ERDMAN_0363;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0363
4231019	3	G	5	2	intergenic/unannotated	NA
740363	3	G	5	2	gene	ID=gene713;Name=mmaA1;gbkey=Gene;gene=mmaA1;gene_biotype=protein_coding;locus_tag=ERDMAN_0714
2672971	3	G	6	1	gene	ID=gene2625;Name=ERDMAN_2626;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2626
2440433	3	G	7	1	gene	ID=gene2403;Name=fadD15;gbkey=Gene;gene=fadD15;gene_biotype=protein_coding;locus_tag=ERDMAN_2404
1519783	3	G	8	1	gene	ID=gene1513;Name=ERDMAN_1514;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1514
2998343	3	G	9	1	gene	ID=gene2955;Name=ERDMAN_2956;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2956
630905	3	G	10	1	gene	ID=gene588;Name=ERDMAN_0589;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0589
2903987	3	G	11	1	intergenic/unannotated	NA
1006813	3	G	12	2	gene	ID=gene1000;Name=ERDMAN_1001;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1001
553959	3	G	12	2	gene	ID=gene505;Name=ERDMAN_0506;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0506
2374261	3	H	2	1	gene	ID=gene2338;Name=PPE37;gbkey=Gene;gene=PPE37;gene_biotype=protein_coding;locus_tag=ERDMAN_2339
2109479	3	H	3	1	gene	ID=gene2059;Name=ERDMAN_2060;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2060
2096465	3	H	4	1	gene	ID=gene2045;Name=modA;gbkey=Gene;gene=modA;gene_biotype=protein_coding;locus_tag=ERDMAN_2046
1347282	3	H	5	1	gene	ID=gene1348;Name=ERDMAN_1349;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1349
1442391	3	H	6	2	gene	ID=gene1439;Name=ERDMAN_1440;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1440
2016959	3	H	6	2	gene	ID=gene1975;Name=PPE25;gbkey=Gene;gene=PPE25;gene_biotype=protein_coding;locus_tag=ERDMAN_1976
2020083	3	H	7	1	gene	ID=gene1978;Name=PPE27;gbkey=Gene;gene=PPE27;gene_biotype=protein_coding;locus_tag=ERDMAN_1979
137764	3	H	9	1	gene	ID=gene132;Name=hddA;gbkey=Gene;gene=hddA;gene_biotype=protein_coding;locus_tag=ERDMAN_0133
3903873	3	H	10	1	gene	ID=gene3834;Name=mce4F;gbkey=Gene;gene=mce4F;gene_biotype=protein_coding;locus_tag=ERDMAN_3835
922045	3	H	11	1	gene	ID=gene913;Name=ERDMAN_0914;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0914
2953701	3	H	12	1	intergenic/unannotated	NA
3520406	4	A	1	1	gene	ID=gene3463;Name=ERDMAN_3464;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3464
2870100	4	A	4	1	gene	ID=gene2819;Name=ERDMAN_2820;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2820
2956254	4	A	5	1	gene	ID=gene2902;Name=arsC;gbkey=Gene;gene=arsC;gene_biotype=protein_coding;locus_tag=ERDMAN_2903
4068982	4	A	7	1	intergenic/unannotated	NA
1502839	4	A	8	1	gene	ID=gene1492;Name=ERDMAN_1493;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1493
548061	4	A	9	1	gene	ID=gene500;Name=echA2;gbkey=Gene;gene=echA2;gene_biotype=protein_coding;locus_tag=ERDMAN_0501
440154	4	A	10	1	intergenic/unannotated	NA
546831	4	A	11	1	intergenic/unannotated	NA
3594820	4	B	1	1	gene	ID=gene3544;Name=pvdS;gbkey=Gene;gene=pvdS;gene_biotype=protein_coding;locus_tag=ERDMAN_3545
1557374	4	B	2	2	gene	ID=gene1544;Name=PPE20;gbkey=Gene;gene=PPE20;gene_biotype=protein_coding;locus_tag=ERDMAN_1545
1969108	4	B	2	2	gene	ID=gene1929;Name=ERDMAN_1930;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1930
4276529	4	B	3	1	gene	ID=gene4191;Name=pks2;gbkey=Gene;gene=pks2;gene_biotype=protein_coding;locus_tag=ERDMAN_4192
2072086	4	B	4	1	gene	ID=gene2023;Name=ERDMAN_2024;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2024
3635927	4	B	5	1	gene	ID=gene3585;Name=ctpC;gbkey=Gene;gene=ctpC;gene_biotype=protein_coding;locus_tag=ERDMAN_3586
2525647	4	B	6	3	intergenic/unannotated	NA
2904301	4	B	6	3	gene	ID=gene2846;Name=yajC;gbkey=Gene;gene=yajC;gene_biotype=protein_coding;locus_tag=ERDMAN_2847
771184	4	B	6	3	intergenic/unannotated	NA
3424320	4	B	7	1	gene	ID=gene3365;Name=ERDMAN_3366;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3366
174506	4	B	8	1	gene	ID=gene169;Name=ERDMAN_0170;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0170
2349531	4	B	9	1	gene	ID=gene2312;Name=ERDMAN_2313;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2313
318144	4	B	10	1	gene	ID=gene293;Name=oplA;gbkey=Gene;gene=oplA;gene_biotype=protein_coding;locus_tag=ERDMAN_0294
4049794	4	B	12	1	intergenic/unannotated	NA
371652	4	C	1	1	gene	ID=gene338;Name=PPE5;gbkey=Gene;gene=PPE5;gene_biotype=protein_coding;locus_tag=ERDMAN_0339
3278953	4	C	3	1	gene	ID=gene3226;Name=ERDMAN_3227;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3227
2811838	4	C	4	1	gene	ID=gene2757;Name=ERDMAN_2758;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2758
1525632	4	C	5	1	intergenic/unannotated	NA
1739037	4	C	6	1	gene	ID=gene1719;Name=ERDMAN_1720;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1720
2640497	4	C	7	1	intergenic/unannotated	NA
1990574	4	C	8	1	intergenic/unannotated	NA
4151410	4	C	9	1	gene	ID=gene4080;Name=ERDMAN_4081;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_4081
2113485	4	C	10	1	gene	ID=gene2063;Name=lldD2;gbkey=Gene;gene=lldD2;gene_biotype=protein_coding;locus_tag=ERDMAN_2064
1161225	4	C	11	1	gene	ID=gene1156;Name=PPE15;gbkey=Gene;gene=PPE15;gene_biotype=protein_coding;locus_tag=ERDMAN_1157
3435196	4	C	12	1	gene	ID=gene3373;Name=ERDMAN_3374;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3374
2556749	4	D	1	1	intergenic/unannotated	NA
1049006	4	D	3	1	intergenic/unannotated	NA
2147597	4	D	4	1	gene	ID=gene2102;Name=ERDMAN_2103;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2103
1825481	4	D	5	1	gene	ID=gene1797;Name=ERDMAN_1798;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1798
1540019	4	D	7	1	gene	ID=gene1531;Name=ERDMAN_1532;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1532
1614396	4	D	8	1	gene	ID=gene1600;Name=bisC;gbkey=Gene;gene=bisC;gene_biotype=protein_coding;locus_tag=ERDMAN_1601
376088	4	D	9	1	intergenic/unannotated	NA
1071985	4	D	10	1	gene	ID=gene1064;Name=lprP;gbkey=Gene;gene=lprP;gene_biotype=protein_coding;locus_tag=ERDMAN_1065
3892312	4	D	11	1	gene	ID=gene3818;Name=ERDMAN_3819;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3819
1361512	4	D	12	1	gene	ID=gene1363;Name=ERDMAN_1364;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1364
2604760	4	E	3	1	gene	ID=gene2567;Name=PE_PGRS39;gbkey=Gene;gene=PE_PGRS39;gene_biotype=protein_coding;locus_tag=ERDMAN_2568
2593097	4	E	4	1	gene	ID=gene2558;Name=ERDMAN_2559;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2559
2166946	4	E	5	1	gene	ID=gene2117;Name=lipD;gbkey=Gene;gene=lipD;gene_biotype=protein_coding;locus_tag=ERDMAN_2118
3780968	4	E	7	1	intergenic/unannotated	NA
920988	4	E	8	1	gene	ID=gene912;Name=ERDMAN_0913;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_0913
901915	4	E	9	1	gene	ID=gene891;Name=purF;gbkey=Gene;gene=purF;gene_biotype=protein_coding;locus_tag=ERDMAN_0892
1812095	4	E	10	1	gene	ID=gene1786;Name=ERDMAN_1787;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1787
3404919	4	E	11	1	gene	ID=gene3346;Name=ERDMAN_3347;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3347
3232453	4	F	1	1	gene	ID=gene3210;Name=fadD26;gbkey=Gene;gene=fadD26;gene_biotype=protein_coding;locus_tag=ERDMAN_3211
1997419	4	F	2	1	gene	ID=gene1959;Name=ERDMAN_1960;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1960
2614501	4	F	3	1	gene	ID=gene2578;Name=plcC;gbkey=Gene;gene=plcC;gene_biotype=protein_coding;locus_tag=ERDMAN_2579
3139088	4	F	4	1	gene	ID=gene3117;Name=ERDMAN_3118;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3118
3247017	4	F	5	1	gene	ID=gene3214;Name=ppsC;gbkey=Gene;gene=ppsC;gene_biotype=protein_coding;locus_tag=ERDMAN_3215
3210744	4	F	6	1	gene	ID=gene3194;Name=pknI;gbkey=Gene;gene=pknI;gene_biotype=protein_coding;locus_tag=ERDMAN_3195
4049027	4	F	7	1	gene	ID=gene3972;Name=ERDMAN_3973;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3973
969022	4	F	8	1	gene	ID=gene965;Name=fadE10;gbkey=Gene;gene=fadE10;gene_biotype=protein_coding;locus_tag=ERDMAN_0966
2382749	4	F	9	1	gene	ID=gene2343;Name=ansP1;gbkey=Gene;gene=ansP1;gene_biotype=protein_coding;locus_tag=ERDMAN_2344
2047998	4	F	11	1	gene	ID=gene2003;Name=erg3;gbkey=Gene;gene=erg3;gene_biotype=protein_coding;locus_tag=ERDMAN_2004
2137183	4	F	12	1	gene	ID=gene2091;Name=lipJ;gbkey=Gene;gene=lipJ;gene_biotype=protein_coding;locus_tag=ERDMAN_2092
2085358	4	G	1	1	gene	ID=gene2032;Name=gnd1;gbkey=Gene;gene=gnd1;gene_biotype=protein_coding;locus_tag=ERDMAN_2033
3896320	4	G	2	1	gene	ID=gene3822;Name=cpsA;gbkey=Gene;gene=cpsA;gene_biotype=protein_coding;locus_tag=ERDMAN_3823
1500462	4	G	3	1	gene	ID=gene1489;Name=ERDMAN_1490;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1490
2692238	4	G	4	1	gene	ID=gene2642;Name=ERDMAN_2643;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2643
3992134	4	G	5	1	gene	ID=gene3916;Name=ERDMAN_3917;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3917
3177052	4	G	6	1	gene	ID=gene3154;Name=ERDMAN_3155;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_3155
3231750	4	G	7	1	intergenic/unannotated	NA
2990398	4	G	8	1	gene	ID=gene2948;Name=ERDMAN_2949;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2949
4201819	4	G	9	1	gene	ID=gene4139;Name=lipE;gbkey=Gene;gene=lipE;gene_biotype=protein_coding;locus_tag=ERDMAN_4140
3894935	4	G	10	1	intergenic/unannotated	NA
2063324	4	G	11	1	intergenic/unannotated	NA
4244262	4	G	12	1	intergenic/unannotated	NA
1072230	4	H	1	1	gene	ID=gene1064;Name=lprP;gbkey=Gene;gene=lprP;gene_biotype=protein_coding;locus_tag=ERDMAN_1065
2999758	4	H	2	1	intergenic/unannotated	NA
2356028	4	H	4	1	gene	ID=gene2316;Name=ERDMAN_2317;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_2317
1825976	4	H	6	1	gene	ID=gene1798;Name=ERDMAN_1799;gbkey=Gene;gene_biotype=protein_coding;locus_tag=ERDMAN_1799
