TA	6-10_Pi_Input3_S3	6-10_Pi_input1_S1	6-10_Pi_input2_S2	6-10_Pi_ctrl1_S4	6-10_Pi_ctrl2_S5	6-10_Pi_ctrl3_S6	6-10_Pi_CI1_S7	6-10_Pi_CI2_S8	6-10_Pi_CI3_S9	6-10_Pi_RI1_S10	6-10_Pi_RI2_S11	6-10_Pi_RI3_S12
2869707	8	17	103	24	8	33	19	34	24	113	21	9
3743849	10	10	12	10	5	16	11	17	9	7	16	12
4042144	3	12	9	19	10	9	12	5	12	19	11	13
3456722	34	44	28	9	1	1	11	1	2	19	4	13
2569166	37	7	28	14	27	9	29	27	34	70	39	31
2137718	36	8	14	12	32	10	8	17	6	36	19	10
1737834	61	9	20	45	74	14	22	28	18	72	42	44
2061238	39	29	24	5	3	1	11	17	7	4	14	25
251799	104	84	103	13	33	22	34	11	12	29	26	21
2129192	44	20	26	42	61	33	25	17	25	67	51	52
541168	34	43	30	37	30	42	31	24	34	59	44	54
1546891	21	29	32	1	3	1	1	4	4	5	3	1
3451019	68	137	60	68	116	146	111	80	97	73	98	60
155553	1	18	1	1	1	1	5	1	1	1	14	1
2453006	182	182	169	84	76	103	43	114	56	103	69	84
3100529	274	149	164	126	103	115	69	52	47	25	81	56
3009590	122	68	86	73	59	20	192	272	161	53	52	36
1933372	29	55	66	42	125	77	73	79	76	88	31	83
4273587	484	219	440	419	531	375	612	488	523	491	739	462
4207794	276	206	269	164	260	194	236	217	166	212	220	239
2480790	140	93	138	27	25	22	20	32	30	23	63	65
2075367	252	195	153	113	93	55	54	53	20	69	62	15
1349602	29	92	139	12	9	3	50	28	56	24	66	44
1098309	157	60	84	141	200	83	114	80	97	230	138	159
1103094	364	280	436	151	148	168	124	128	91	145	93	102
2992253	301	203	308	165	140	192	78	204	109	115	85	109
2496685	181	188	160	44	40	67	23	15	17	29	21	31
2955678	251	86	111	181	337	124	122	99	121	349	207	196
22200	210	227	189	157	170	124	51	59	71	207	32	60
2334118	86	64	66	39	45	70	12	40	17	49	26	38
4380642	168	103	200	57	32	20	61	92	60	109	40	20
808686	395	327	315	271	215	150	111	137	105	177	142	120
1821713	210	195	237	18	44	47	71	19	38	59	55	37
392541	480	441	700	202	322	307	97	131	134	209	221	194
3009923	215	232	135	172	63	56	536	532	426	35	196	152
2600491	296	253	315	105	144	167	109	134	40	169	122	60
3172106	369	170	370	217	170	132	115	177	76	164	131	149
173272	302	341	395	444	534	411	194	206	185	159	253	194
2880225	436	301	331	509	440	257	319	237	289	403	431	307
2189849	372	298	406	172	186	218	89	155	115	198	159	105
2390225	350	401	472	464	236	121	114	136	95	164	85	84
1834548	510	436	453	794	821	859	559	698	576	1232	872	818
1556118	321	259	423	148	144	326	128	196	136	352	192	205
2612634	679	601	699	317	242	384	167	248	164	290	219	189
1332121	498	247	331	183	168	141	99	168	89	156	202	155
3471074	341	374	312	152	146	101	93	142	43	45	90	70
2059419	471	301	384	211	140	125	109	200	120	174	113	90
3531549	300	379	446	315	380	295	523	335	483	570	512	502
3521045	799	200	297	546	1122	289	241	198	331	1069	693	636
3099771	745	537	622	328	305	341	136	209	156	235	232	159
1339142	724	641	652	342	250	331	133	264	146	282	220	177
1877119	347	281	423	228	145	202	102	131	79	188	96	113
4306137	584	424	501	155	125	106	108	86	88	193	60	82
4130803	325	228	352	421	307	472	167	286	144	234	325	180
3383688	755	507	708	282	260	312	153	389	152	228	287	186
1443519	717	610	706	284	369	328	177	341	158	310	232	247
2988925	883	596	793	547	365	499	225	204	216	273	222	255
2214822	615	496	520	229	349	367	331	425	239	409	239	258
374977	625	542	544	339	318	333	202	283	185	248	309	187
530040	1036	592	874	352	400	441	245	353	288	302	282	309
4230777	867	454	584	916	968	1027	1068	821	889	1173	1663	1013
2916379	447	314	443	160	223	151	150	135	62	170	169	78
4318484	444	325	388	260	230	326	109	98	92	157	163	235
1737837	979	388	503	363	432	282	151	217	156	207	259	113
2369014	997	880	987	407	329	492	422	539	427	480	458	393
2321887	765	590	635	294	326	296	214	336	227	177	241	175
1122411	668	623	577	210	197	226	142	240	134	251	200	135
4145916	1105	1019	1194	991	936	674	1288	856	1087	1101	1352	1040
2628033	515	472	468	278	264	387	134	218	151	289	207	181
2542587	1230	1028	1420	441	535	586	205	333	137	306	239	329
3043076	752	476	647	219	193	285	121	174	134	231	156	85
1442058	569	560	570	250	318	297	149	242	142	246	156	181
3914187	1104	716	1044	464	472	522	231	529	244	407	429	361
3314715	1057	798	1054	668	561	511	367	496	333	543	418	295
595235	976	1034	1045	320	197	339	275	334	297	512	407	341
3470209	1045	762	1116	521	412	534	224	446	271	481	314	343
1849013	498	602	546	294	178	329	143	136	166	217	138	212
2625448	513	477	459	292	267	371	141	221	113	267	195	179
4320034	863	707	740	108	269	159	59	89	53	104	71	63
2344536	708	611	728	345	291	389	196	313	269	240	320	303
1914996	799	701	872	285	342	349	228	371	181	237	229	2221
1239115	1008	707	1030	478	510	655	251	394	356	397	371	382
1962355	922	739	876	398	308	438	161	305	162	287	320	226
3293027	959	648	826	505	439	304	253	310	186	261	333	284
1004302	135	513	202	110	99	90	25	53	44	142	66	51
2623071	774	656	917	338	447	638	212	303	248	374	362	215
955783	973	882	1002	663	538	664	287	489	363	633	474	481
2619670	844	661	836	363	452	578	221	317	219	358	339	234
2799467	1005	1017	904	482	482	458	311	361	209	360	399	281
316865	897	736	1005	244	325	362	276	280	275	290	203	263
3681027	1080	884	1268	501	620	611	226	290	241	504	242	245
3750770	686	529	657	444	321	298	278	322	227	410	213	193
568127	1249	1003	1211	527	482	449	320	373	304	471	371	399
4344466	983	771	945	420	387	376	286	448	281	541	533	456
4277048	1046	1053	1136	508	500	467	220	396	287	310	352	314
3894594	1038	924	966	721	552	674	287	380	315	286	221	440
1703526	1656	1508	1502	923	1030	805	511	836	471	864	993	784
3017195	1522	1141	1416	718	633	715	491	639	393	661	597	382
2603353	805	681	776	871	1206	976	399	516	419	941	847	678
2887096	1138	1066	1159	548	574	665	403	642	338	519	673	549
1737621	1281	1030	1472	768	840	687	318	697	383	913	443	464
881051	1266	944	1066	683	521	543	276	391	280	443	380	329
3953493	1026	652	959	512	632	480	217	391	264	340	260	313
2364483	959	998	975	395	394	288	383	594	390	400	302	261
2587183	1288	1175	1717	1748	1955	1901	1074	1111	986	1881	1681	1454
2108643	1634	1214	1378	571	1081	841	446	586	381	746	609	621
2637305	1177	1216	1214	378	263	274	260	386	243	403	380	307
2381263	921	737	1377	204	230	288	122	135	140	220	151	143
3543789	1039	976	1287	530	679	620	267	476	295	586	384	267
4038707	1558	1378	1176	563	772	678	348	599	326	510	525	368
223664	1119	811	1275	613	666	848	442	249	324	702	334	488
3117084	2162	1541	2053	970	1052	1104	610	859	692	1043	680	695
3288701	2050	1748	2231	910	1016	1001	432	634	522	854	818	626
1274481	1080	1085	1243	647	551	745	434	449	299	574	482	342
2133013	1251	1092	1448	882	957	1165	728	597	500	659	432	425
3230954	1378	1027	1363	741	720	483	394	578	412	508	483	481
543244	1176	1217	1228	616	544	624	297	519	333	656	516	250
2336706	1038	1016	1034	615	513	714	382	587	354	634	526	372
3993441	1589	1276	1749	614	659	645	227	430	145	543	379	599
1017467	1326	1143	1322	640	479	591	370	420	392	437	434	411
3036683	1661	1496	1691	1255	939	993	1836	1412	1756	2195	2174	2013
2194087	1904	1635	1890	1004	1024	1065	922	1037	786	1671	1515	1327
373687	1403	1270	1259	716	659	723	408	558	323	659	576	419
1387152	1716	1586	1660	1098	1855	957	472	697	388	619	682	1082
3418033	1678	1221	1724	755	713	803	471	659	435	889	619	558
2042700	1415	1034	1327	898	682	795	320	492	400	780	541	403
2094881	1536	1303	1931	743	831	850	471	755	456	789	623	456
821359	1053	1078	1259	475	714	403	328	443	344	535	340	362
2000189	2351	1515	2112	993	1233	1272	575	968	709	1176	815	560
2166476	2097	1518	2000	704	981	848	439	623	516	823	654	528
305178	1552	1179	1461	659	1039	751	545	569	392	754	609	457
2253114	1224	1031	1341	905	678	743	375	511	413	596	487	547
2005903	1698	1341	1801	839	746	919	312	561	325	765	574	412
3273673	1694	1615	1656	850	760	1044	537	661	486	823	560	602
3828572	1659	1399	1837	1019	1007	1006	476	900	593	707	569	567
985782	1673	1141	1491	1034	832	852	435	754	410	890	681	662
3810353	1230	774	1178	879	662	436	351	353	267	542	438	345
1988687	1311	1024	1294	911	625	730	387	504	376	576	492	568
2437979	2200	1547	1922	1329	862	1082	894	762	898	981	753	752
1363840	968	873	832	429	546	468	190	251	164	304	240	136
3284727	1113	867	981	550	629	554	307	519	281	840	442	340
3824797	2054	1531	1762	847	919	1285	655	670	564	941	717	535
83365	1619	1385	1796	1009	842	778	369	1076	438	598	525	424
1917706	1306	1180	1431	1243	1334	1032	473	790	611	909	614	719
3231058	2363	1723	2325	1485	1365	1512	834	1130	792	1329	1196	818
1822820	1649	1442	1750	737	711	766	370	568	307	620	749	453
1775391	2052	1600	1987	802	764	958	338	564	491	743	611	441
2160148	1720	1522	1809	757	1027	750	548	760	539	995	645	745
2763088	2020	1705	2149	891	1113	1279	622	1038	655	976	695	583
2018040	1341	1029	1150	418	630	610	302	338	322	470	404	468
1610357	1452	1171	1605	1523	1499	1552	1759	1377	1704	1752	1670	1598
192973	2608	1637	2217	975	996	1090	655	780	480	1116	595	627
2224949	2268	1779	2225	1005	1237	998	560	896	512	798	891	591
518722	1954	1785	2063	1227	1306	1227	648	1060	629	928	612	664
2196352	2172	1410	1768	961	831	755	507	884	404	771	644	501
2223316	1657	1140	1725	946	829	1141	300	577	463	740	476	459
3785745	960	865	1107	628	467	467	281	431	318	499	383	419
10827	2662	1637	1953	459	480	344	299	385	281	246	407	258
1841364	1748	1368	1839	885	966	964	624	860	482	707	616	460
1442002	1526	1199	1410	542	765	756	335	566	267	529	450	469
3883460	1903	1468	1668	929	831	1184	612	565	487	865	645	480
2616472	2579	2076	2417	1143	1241	1266	631	1088	725	1229	926	829
4119	1905	1741	2197	977	1153	921	1539	1303	1355	2509	2362	2003
