TA	6-10_SP_Input1_S13	6-10_SP_Input2_S14	6-10_SP_input3_S15	6-10_SP_ctrl1_S16	6-10_SP_ctrl2_S17	6-10_SP_ctrl3_S18	6-10_SP_CI1_S19	6-10_SP_CI2_S20	6-10_SP_CI3_S21	6-10_SP_RI1_S22	6-10_SP_RI2_S23	6-10_SP_RI3_S24
4286957	1	1	26	14	1	3	14	4	17	49	1	1
3508511	1	6	3	4	28	4	10	4	7	6	5	2
2869707	1	1	181	14	85	36	9	41	37	23	1	9
2569166	1	1	1	20	95	29	1	7	56	8	2	29
1349602	2	1	1	27	1	106	2	26	30	1	12	1
1933372	3	6	93	77	28	97	51	85	44	26	18	45
229774	5	1	4	20	1	28	31	9	8	5	2	1
3235894	5	4	1	4	21	5	4	8	1	3	5	3
625870	6	4	10	5	34	1	6	2	5	12	1	8
4042144	8	11	10	30	34	35	57	46	66	15	21	13
4310642	8	6	5	5	17	6	5	4	6	7	4	3
3743849	11	9	14	12	17	8	8	10	10	9	10	10
2846616	11	43	9	1	1	9	4	1	1	1	2	9
2137718	20	15	24	11	100	18	28	23	12	13	12	8
1737834	22	53	27	26	168	58	27	17	22	16	22	17
2129192	24	51	29	35	215	63	39	42	34	20	28	23
3456722	28	15	35	5	1	4	8	10	1	1	4	1
1821713	32	28	137	18	2	6	21	44	23	18	43	7
1546891	40	47	76	14	62	13	17	9	31	56	46	24
541168	46	40	35	27	82	41	27	47	29	49	43	33
3451019	83	109	6	102	212	117	502	74	90	50	55	19
2334118	88	108	111	83	320	77	45	33	42	62	44	45
2075367	102	58	87	88	6	84	37	37	66	69	12	86
1098309	115	107	130	73	542	166	114	88	87	84	55	65
4380642	125	150	213	202	166	180	103	94	179	59	55	67
2480790	129	91	120	11	83	36	24	51	64	98	113	134
2955678	146	125	156	143	1005	168	164	141	109	113	129	95
2061238	173	180	228	89	6	117	70	94	46	472	16	184
22200	180	246	400	425	114	350	100	154	179	108	100	152
251799	227	202	232	38	39	95	116	91	63	130	159	127
3009590	232	157	218	286	267	456	1205	2160	1506	132	132	161
2453006	232	306	353	220	210	195	122	116	141	187	334	223
2496685	258	199	214	161	139	207	96	157	185	130	98	106
2600491	281	231	143	178	274	289	76	181	128	38	1201	167
3009923	291	216	249	418	156	394	3131	4066	4776	159	337	155
808686	305	333	643	317	192	379	125	205	188	319	1290	313
2059419	373	449	551	293	157	311	321	287	428	211	367	339
1004302	373	390	372	129	238	161	52	60	110	84	911	395
3100529	374	354	217	227	136	192	82	112	133	231	82	164
3471074	375	314	439	240	174	312	50	121	136	169	51	126
4130803	441	447	478	703	836	482	326	386	439	217	163	1328
2992253	442	578	583	216	130	315	154	138	165	266	1142	180
2390225	443	434	572	318	369	321	135	100	150	117	142	475
3043076	446	511	385	416	554	400	255	292	645	856	385	1203
4207794	451	585	530	764	900	1004	411	575	673	598	608	717
3521045	461	446	452	289	1933	680	481	405	240	270	279	186
173272	465	396	499	639	252	547	411	457	449	254	228	1092
4306137	489	501	544	339	215	373	185	284	239	155	186	739
1332121	498	498	296	399	482	361	129	323	193	437	109	684
4318484	563	616	476	507	487	443	226	393	255	276	311	639
2628033	568	574	539	422	532	532	351	318	379	1016	1152	965
3172106	570	678	592	383	284	360	340	150	345	259	121	246
2916379	574	526	616	359	439	348	118	192	207	367	1196	145
2625448	581	558	525	422	555	541	315	364	329	1029	1156	930
2189849	629	564	533	265	189	412	218	203	218	431	449	288
2880225	647	713	508	479	241	696	273	301	503	66	170	210
1877119	668	631	371	268	259	363	176	149	282	472	492	96
2988925	669	657	1364	619	498	532	274	595	461	1126	573	514
1103094	682	770	392	273	151	489	115	248	202	90	180	475
1834548	738	625	564	1322	1182	1535	1570	1221	1542	1124	1445	1862
1443519	738	778	735	628	297	851	316	452	520	660	615	488
1737837	759	784	425	731	751	671	156	238	257	191	746	475
392541	770	761	657	483	480	462	389	250	409	1519	365	252
4145916	773	698	710	1467	748	1165	1769	1845	1969	1766	1204	804
3383688	784	847	763	407	901	611	299	417	828	444	3243	567
3750770	806	849	1169	616	1192	670	454	468	458	414	443	665
2364483	857	867	910	2073	2060	2035	3829	7113	4359	760	1355	1377
374977	863	890	859	619	394	743	300	405	442	1173	654	491
1849013	885	833	924	385	1348	581	175	248	366	556	170	430
2612634	893	908	1169	615	578	667	548	519	557	413	571	645
2321887	901	862	1307	698	431	627	435	355	481	351	156	653
1339142	905	921	1104	584	614	675	575	507	491	388	588	646
2381263	913	977	1002	650	541	485	341	192	155	714	296	500
1442058	926	900	725	631	552	623	383	478	387	719	585	604
4273587	931	855	28	505	407	397	518	457	383	184	8188	149
2369014	973	913	1460	1564	902	1800	2672	5858	4102	1320	1340	1924
3531549	977	1051	277	354	1048	448	472	558	335	145	127	153
1556118	984	896	690	316	535	354	575	211	455	389	139	411
3914187	1007	908	1527	891	1059	973	526	620	624	1081	651	2749
3041257	1022	1065	1107	737	1070	556	495	480	521	392	601	454
3293027	1054	1090	883	603	451	754	685	387	383	584	394	815
1962355	1066	937	575	727	920	806	327	505	685	1011	527	341
1122411	1070	1038	920	471	803	624	172	398	195	550	1184	443
2623071	1100	1145	973	686	972	791	427	435	577	3467	1062	1165
2799467	1112	1023	1631	709	939	811	731	408	538	622	1805	1007
1914996	1124	1185	1448	634	940	754	306	417	294	794	1045	1274
4320034	1124	1274	458	500	444	402	193	136	155	167	1986	202
3314715	1133	1221	1822	1129	616	1100	599	712	792	1671	337	577
2619670	1139	1181	946	712	994	812	446	515	544	3592	1059	1087
3894594	1141	1186	950	950	1065	1143	770	709	633	1437	235	2217
2344536	1154	1094	1215	764	451	788	724	771	1104	812	656	891
3099771	1184	1216	856	732	631	622	325	374	409	641	437	566
2603353	1220	1029	863	1640	736	1502	1189	938	1560	916	966	1848
595235	1249	1405	1461	809	706	1005	712	957	1042	534	1230	1114
4277048	1249	1185	1002	922	853	1141	571	529	665	1494	365	1869
568127	1250	1365	1617	954	370	1162	517	774	754	653	678	677
2214822	1297	1323	1063	991	371	1007	722	777	852	919	904	896
881051	1316	1452	1225	995	719	1153	571	736	716	735	548	990
1239115	1316	1236	1436	779	1263	1047	518	569	570	686	629	1206
1961135	1318	1386	1774	1646	1042	1819	2108	1454	2872	1229	440	842
3785745	1331	1393	1417	1028	2892	1111	545	787	666	799	1915	1268
3953493	1354	1319	1122	635	1635	1048	605	685	635	963	1432	1411
530040	1356	1295	1420	693	361	729	525	686	558	985	1548	754
1363840	1362	1438	1461	869	1766	966	472	620	444	376	571	1315
2336706	1413	1329	1541	1016	2187	1263	893	809	808	973	673	1021
1988687	1428	1409	1595	1490	1251	1263	620	820	739	1211	1133	1488
1017467	1435	1346	1549	1235	1379	1535	1042	833	914	803	1146	1445
3284727	1435	1602	1555	1637	2439	1201	698	713	739	1083	1406	1475
223664	1437	1513	1180	1041	891	961	707	576	932	2806	1455	2089
4230777	1437	1347	1287	901	1054	1055	699	1195	881	239	298	201
3470209	1452	1373	970	774	678	966	510	1173	626	583	2303	1037
1737621	1454	1440	1970	1284	587	1694	892	711	760	1083	1363	2188
2542587	1458	1544	1817	1314	299	1103	414	563	669	382	424	2082
2253114	1505	1470	1474	1518	1292	1210	650	846	823	1211	1138	1565
316865	1512	1680	952	843	837	1032	361	692	658	501	585	1374
4344466	1516	1231	1163	870	995	1057	563	697	578	904	327	1008
2644095	1522	1444	1876	1260	1174	1324	441	582	806	2471	685	1980
376116	1542	1460	2400	1115	1351	1397	1917	1122	878	1176	796	1508
2637305	1554	1529	1881	964	808	1069	498	509	640	356	325	853
4119	1555	1332	1985	1705	337	1715	2195	1327	2904	1329	391	888
2194087	1558	1665	1817	1811	1107	2290	1214	1297	1331	2118	2203	2887
339401	1586	1631	1224	1061	2042	1197	860	643	833	809	853	861
335511	1588	1565	1258	1064	2031	1112	853	693	839	794	814	928
3230954	1640	1455	1659	1255	537	1266	546	735	759	1213	1064	2018
1610357	1641	1862	2296	1398	2264	1849	1297	1732	1709	375	394	487
955783	1652	1607	1619	1043	899	1314	529	576	611	1203	741	1527
1274481	1723	1832	1746	1048	849	1468	743	631	829	1278	1387	991
3017195	1724	1763	1459	1301	1166	2098	842	747	972	1892	1017	2545
1035840	1739	1610	1588	1380	1350	1334	644	856	643	1410	1788	1462
1387152	1744	1734	1762	1542	1244	1952	787	1001	1132	1853	4296	1874
2887096	1758	1586	1991	1129	700	1551	819	1161	811	3020	2319	834
3752227	1758	1642	3250	1416	1761	1567	709	931	792	3855	7341	1165
3681027	1773	1623	1417	999	895	997	415	644	735	686	1111	926
543244	1774	1658	1551	2620	1588	2572	1863	910	1419	1614	2047	1254
1883132	1777	1933	2702	1522	1974	1691	1250	1118	1286	3011	971	992
3755636	1814	1827	1929	1018	2338	1517	857	1125	1081	1220	2991	955
3036683	1836	1694	2008	1590	1660	1556	1324	1835	1625	1708	679	1224
2587183	1846	1695	1861	2689	1502	2909	1976	1295	2066	1810	3250	5347
1822820	1856	1832	2025	1184	2163	1598	729	784	922	3006	3489	1608
3543789	1857	1910	1562	1454	1188	1187	1001	1154	644	1962	2175	1026
3810353	1879	1770	1390	886	1039	1137	502	633	699	1199	2255	876
2005903	1886	1630	2156	1353	1860	1556	728	702	717	1097	878	1165
2018040	1894	1888	1668	897	1851	977	554	533	430	1077	503	1762
1823763	1896	2069	2979	1543	1046	1659	834	920	995	2147	1891	2445
1917706	1903	1885	2543	1532	1757	1616	1270	882	862	4334	981	1295
3601186	1909	2126	2468	1456	2992	1562	682	1532	971	1742	1437	1333
322627	1916	1789	1830	1177	1083	1645	534	1153	1025	1337	1319	1060
1078042	1942	2047	2439	1790	2998	1932	1292	1533	1179	2094	2317	1229
2108643	1958	1962	1769	1074	1079	1418	767	999	1163	1693	784	2422
1442002	1963	2030	1514	1140	1230	1278	828	1116	798	1634	1319	1190
1775391	1982	1852	2923	1592	1697	1855	1340	1186	1411	2908	936	1080
4038707	2040	1936	1940	1507	1420	1470	608	924	849	1220	2959	1937
3725192	2041	1972	1686	1096	2987	1451	1172	1071	932	1397	1280	1706
2497030	2056	2001	2399	1835	1596	2102	1008	1480	1127	1062	2595	1988
373687	2114	2201	2026	1266	1276	1586	646	885	963	2800	1286	966
821359	2114	2238	1411	948	1881	1158	632	639	627	513	3092	1189
2437979	2132	2503	2090	2260	1233	1878	1335	1862	1871	1342	3158	1746
2042700	2136	2072	1431	2552	2420	3270	1887	1848	1709	2456	1161	1223
2102091	2151	2379	3132	1742	1831	2122	1711	1054	1408	2615	2458	1596
1602454	2154	2162	1803	1771	2117	1967	1190	1147	1005	1520	1432	1408
2166476	2182	2139	2306	1391	1026	1718	986	1072	925	1363	1133	1793
2133013	2183	2110	1796	1484	961	1574	1468	1160	863	2248	5701	1083
2367722	2217	2225	2285	3671	1819	3882	6039	10094	8403	2798	2468	4580
192973	2225	2242	2838	2031	2304	2427	1069	1433	1528	1711	2717	1611
2160148	2234	1956	2387	1467	1201	1886	1430	756	1095	1099	1134	2005
83365	2256	2345	2209	1535	2098	2018	863	1560	1137	2204	1048	2094
1077726	2269	1957	1837	1408	1764	1622	1834	739	865	1051	2476	1583
2997839	2279	2254	3133	4683	2801	4694	2962	1563	2125	2685	1340	2050
3475872	2287	2328	2377	1895	1266	2048	1132	1210	1269	1932	1272	2044
201967	2307	2209	1809	1462	1536	1709	5594	6396	5488	21386	23247	22975
3200289	2308	2115	2302	2815	4049	3021	2989	4172	2710	3619	1837	1607
3828572	2312	2280	2589	1761	1642	2023	1240	1388	1085	1957	2348	1972
3787079	2320	2419	2426	1565	2198	2024	1403	1094	1293	1485	1467	2343
3993441	2323	2074	1702	1086	650	1567	580	855	583	1674	2440	1372
1703526	2325	2304	2621	1460	1205	1680	1051	1257	1170	1951	2426	1305
4110166	2335	2289	2248	1702	1423	1979	955	870	808	1420	3279	1815
1294457	2359	2270	1833	2572	3149	3150	2581	2898	3358	2131	1679	1864
831572	2365	2284	2296	1853	2216	2193	979	1409	1180	2062	3038	1567
3824797	2401	2340	2527	1478	1061	1785	1047	1451	1189	2579	3591	1845
473211	2402	2363	2570	1692	1892	2166	849	1097	1032	2491	2695	3341
385588	2405	2367	1479	1499	1913	1917	1794	1348	1248	3707	1675	1706
3599521	2408	2419	3184	1900	1921	2185	946	1253	1443	1645	2685	3154
3273673	2417	2503	2213	1689	1263	1821	904	1397	1176	1615	8675	2024
374299	2420	2257	2737	1809	1627	2402	1231	1235	1889	2689	2016	1877
3594754	2468	2380	2303	2541	2623	2921	1361	1483	1562	1936	5871	1912
693172	2501	2335	2442	1096	933	1471	380	579	696	1425	1869	1550
2223316	2509	2120	2788	1509	1145	1739	663	1217	901	938	947	2014
2000189	2520	2541	2926	1865	1767	2290	1110	1091	1363	1620	1812	2463
2196352	2520	2581	2346	1770	1052	1956	916	1132	1430	1733	1594	1214
305178	2523	2546	1830	1531	2368	1696	737	941	1063	1701	728	1030
2094881	2532	2385	1449	1334	1326	1624	765	1357	890	2171	2365	2084
985782	2550	2591	2267	1443	1401	1649	875	828	903	2103	545	3093
395662	2632	2564	1934	1498	1508	1872	1074	1128	1359	2382	1229	1270
2246620	2633	2884	3953	2000	1745	2811	2048	1153	1336	2498	1775	3281
1841364	2654	2742	2089	1751	2223	2122	1498	1266	1120	1266	546	3330
2392822	2665	2701	3351	9317	9363	9190	8114	6894	7746	3077	1683	3445
3829257	2670	2610	2774	1330	1196	2032	1174	1463	1368	1515	4521	1420
3298967	2675	2724	3152	1970	1893	2575	815	1312	1116	1456	3451	2068
2763088	2688	2556	2069	1733	1167	2419	836	1215	1099	2270	2948	2719
2959694	2756	2324	3174	2255	2568	2931	1555	1551	1383	2746	5171	1941
3064797	2771	2704	2086	1848	3326	2267	894	1044	1159	1759	3072	3674
2258195	2786	2750	2743	2092	2558	2624	1282	1577	1549	2007	2961	4030
2568972	2794	2883	2922	1939	2191	2822	1259	1795	1776	1086	3114	2444
311576	2837	2775	3670	2532	2534	2761	1156	2014	1635	2963	4783	2305
3418033	2846	2871	2670	2182	2285	2315	1198	1169	1807	1877	2231	1958
