TA	Input1	Input2	Input3	Ctrl1	Ctrl2	Ctrl3	CI1	CI2	CI3	RI1	RI2	RI3
2782225	18563	13590	20372	20052	12153	16095	11829	17263	13952	13330	12751	18154
4141433	1250	1015	1452	6195	3085	4231	10874	24627	18293	3937	2910	8283
851862	218	168	259	2930	1363	1774	8795	19248	15683	3789	1343	4216
203224	1347	866	1515	1132	704	1018	8624	21572	5714	20155	9019	25104
852789	1357	1158	1702	6735	3551	5419	7730	14170	10456	3047	1949	2105
1231242	10305	9002	13164	13291	7792	9927	7300	10824	8867	9456	8497	13771
1981027	10327	8080	12920	11685	6811	9714	7289	10054	7882	8084	8199	11320
3025370	8979	7168	11369	10423	6254	8918	6391	9812	7722	7649	6468	10400
2020083	3217	2532	3717	6767	3879	5193	6138	10661	7802	5537	3974	7929
576394	4402	3262	5264	6460	3742	5086	5985	9226	5646	4504	2687	5255
2016959	3166	2444	3811	6632	3892	5087	5968	10722	7972	5473	3989	7882
203040	698	510	831	585	337	492	5760	13026	3980	13865	6739	16909
1349558	8149	6078	9403	8636	5404	7212	5719	8102	6995	7755	6366	9613
3151622	8723	6357	8800	9032	6239	7954	5511	7727	6526	6613	5276	7137
3817872	2330	1832	3130	3084	2005	2442	4313	5760	4733	2443	2086	3036
120902	6113	4795	7340	7091	4143	5447	4164	6153	5091	4975	4581	7334
1300484	6677	5147	7446	7096	4810	6473	3918	5429	4648	5610	4291	6329
4294579	5324	4161	6471	5100	2994	4336	3586	5241	4508	3969	3820	5962
2585400	5170	3862	5983	5770	3603	4648	3409	5044	4504	4141	3678	5398
3896739	5138	3959	6321	7857	4391	5967	3370	6850	4461	5802	4191	7062
431448	3666	3127	5222	4676	2571	3551	3360	4857	3992	3627	3073	5146
821961	5253	3615	6562	5533	3199	4720	3336	5410	4068	4167	3356	5477
1749724	4687	3642	5803	5229	3082	4199	3318	4418	4046	3575	3094	5236
2749676	4544	3465	5445	4689	2672	4045	3185	4410	3600	3508	3078	5110
852168	446	388	673	5128	2534	3287	3102	7840	5204	3032	1796	2828
1196451	4130	2982	4988	4900	3305	3704	2890	3899	3642	3616	2465	3913
4126777	3689	2756	3942	3979	2308	3317	2761	4201	3408	3037	2324	3825
3091751	3321	2879	4387	3694	2625	3424	2727	4064	2935	2972	2415	3730
2874816	3168	2536	4021	5227	3106	4343	2721	3935	3405	4001	3670	4921
3600898	3764	3069	4390	4171	2578	3426	2644	3836	3225	3346	2436	3869
3779268	3793	2906	4551	3932	2674	3505	2551	3982	3142	3264	2750	4404
1595770	3651	2909	4423	4091	2370	3529	2547	3662	2762	2547	2542	3799
758401	3789	2698	4613	3700	2389	3145	2524	3736	3243	3012	2605	4237
188774	2391	1861	2865	3853	3119	3931	2492	4166	2971	2509	1976	4301
4038898	3580	2974	4348	3847	2346	3238	2491	3403	2767	2599	2309	4103
597986	2498	2126	3123	4029	2429	3068	2480	3693	2843	1890	1720	3008
1404115	4047	2878	4155	3840	2360	3323	2467	3434	2984	2949	2498	4084
205440	293	235	360	268	183	247	2451	5974	1808	6256	3288	8175
1833015	371	353	533	1592	965	1176	2441	5701	2419	1894	1119	3899
3617051	2989	2258	3860	3945	2223	2986	2408	3184	2820	2718	2574	4246
3016202	2684	2375	3354	3199	2122	2703	2250	2956	2414	2295	2306	2980
3960282	3399	2476	4068	4085	2078	2942	2238	3475	2710	2733	2239	4027
3831881	1208	729	1172	1435	781	1076	2224	5802	2855	5367	2965	8589
2108331	3624	2850	4718	4203	2392	3243	2219	2755	2770	2648	2094	3570
2287265	3143	2524	3686	3803	2233	2820	2177	2987	2615	2287	2042	3364
3722193	3267	2283	2960	3868	2061	2976	2134	3481	2258	2897	2086	3235
1545773	3127	2323	3561	3728	2229	2852	2119	3074	2552	2604	2290	3374
2513603	2575	2158	3289	2911	1857	2798	2114	2725	2381	1629	1865	2594
1911125	2649	2385	3687	3614	2065	2723	2101	3267	2292	2289	1773	2932
2042532	2214	1755	2352	2084	1152	1699	2093	2621	2165	1538	1281	2243
1037367	3013	2601	4172	6000	3720	4699	2086	3743	2142	4828	3829	8540
3190045	3061	2479	3776	3465	1872	2421	2049	3072	2555	2338	2031	3256
1751012	1040	969	1597	2493	1390	1915	2038	2467	2420	1308	826	1399
2868588	2763	1819	3320	2926	1482	2361	2010	3238	2411	2171	2060	3188
294568	7988	7195	11306	4118	2981	2880	1998	3475	1830	5031	5848	7460
1774881	3103	2201	3399	3052	1687	2437	1963	2834	2395	1855	1435	2625
1980338	2538	2090	3209	3190	1735	2242	1878	2450	2193	1983	1941	2896
4009356	819	698	1031	1080	619	847	1877	3405	2046	917	800	1360
741134	2721	2041	3569	2961	2029	2902	1862	1875	2104	1968	1690	1717
4060554	1729	1286	2289	2784	2280	2853	1856	3450	2409	1810	1602	2791
2084981	2853	2051	3559	3288	1731	2353	1838	2544	2203	2238	2150	2672
2311927	2548	2157	3140	3008	1708	2279	1819	2478	2164	2122	1886	2840
179898	2659	2067	3114	2589	1800	2251	1818	2624	2197	2061	1586	3061
3497484	2923	2032	3212	2669	1730	2296	1808	3118	2211	2308	1747	3172
2527354	2806	2007	3030	3066	1964	2241	1761	2736	2234	1833	1704	2876
1961135	2181	1757	2625	2426	1392	1971	1698	1553	2264	1136	1025	1376
840317	2402	1734	2133	3455	1748	2088	1695	2490	2218	2092	1746	2549
2945983	2127	1673	2826	2734	1435	2173	1688	2348	2036	2004	1805	2796
2459690	2080	1830	2497	2119	1173	1565	1677	2678	2025	1442	1249	2169
1912778	2225	1903	2996	2752	1547	2291	1670	2366	2203	2160	1857	2943
1299975	2493	1870	3109	2526	1638	2309	1644	2355	1873	2010	1734	2700
290267	1805	1323	2032	2307	1285	1746	1636	2212	2043	1700	1503	2237
3212311	2322	1620	2414	2603	1522	2037	1618	2526	1706	1876	1452	2582
2934312	2116	1751	2603	2315	1402	1924	1581	2196	1571	1625	1668	2170
280014	1934	1423	2125	2276	1381	1754	1573	2357	1898	1501	1219	2148
1682176	1988	1666	2608	2267	1525	1855	1568	2125	1983	1613	1373	2421
2195463	2017	1511	2589	2352	1379	2095	1553	2089	1848	1835	1796	2162
1133813	1806	1370	2436	3092	1855	2455	1525	2294	1926	1872	1304	2261
3581495	1151	908	1439	5962	3350	5031	1495	2688	2776	4152	3192	4517
2041171	1036	857	1276	1106	693	1025	1491	1616	1457	963	572	946
3292491	1947	1819	2598	2266	1403	1786	1480	2467	1924	1709	1463	2167
3190572	2172	1772	2901	2317	1674	2090	1479	2445	1936	1827	1655	2490
4207589	840	759	1121	1559	900	1162	1466	3234	1958	1024	793	1689
688960	2241	1809	2796	2562	1557	1980	1464	2073	1869	1946	1821	2708
2679738	2015	1626	2547	2537	1524	1869	1462	2212	1895	1528	1575	2372
1627370	2426	1603	2839	2421	1415	2364	1462	2335	1884	1907	1698	2437
1322553	1677	1731	2710	2226	1326	1890	1461	1900	1724	1626	1817	2395
2959237	2143	1471	2415	2305	1340	1951	1449	2218	1649	1546	1246	2287
1946851	1645	1544	2397	2218	1312	1698	1446	1984	1637	1694	1225	2314
327317	1857	1595	2142	2407	1326	1816	1437	1961	1658	1564	1130	2099
1349581	1911	1562	2257	2259	1256	1859	1420	2059	1779	1826	1470	2530
3299812	1843	1524	2176	2159	1316	1837	1394	2025	1642	1544	1273	2270
415544	2042	1378	2452	2166	1303	1695	1392	1913	1611	1559	1247	2275
3051410	1455	1138	1631	3268	2001	2490	1358	3107	1632	2981	2168	4218
1725379	1909	1478	2427	2195	1331	1877	1348	1941	1663	1670	1152	2227
1619355	1865	1556	2349	2521	1555	2110	1341	2144	1561	2343	1905	3368
3079709	2127	1591	2483	2279	1454	1700	1305	1928	1556	1725	1151	2347
2021058	218	175	329	618	288	421	1305	2500	1423	693	530	1269
2195038	1612	1209	2355	2006	1260	1523	1303	1876	1658	1503	1551	1988
4200913	2588	2091	3188	1807	1040	1507	1302	2242	1416	1675	1670	2754
3843825	2079	1466	2434	2493	1429	1904	1285	2133	1503	1831	1091	2400
1264437	2071	1583	2736	2279	1357	1924	1270	2086	1725	1836	1295	2315
4319535	2222	1886	2403	2897	1857	2352	1268	1893	1500	2443	2122	3256
1481260	1813	1392	2222	1967	1287	1698	1244	1894	1578	1482	1275	1752
684232	1768	1259	2188	2310	1177	1818	1243	1866	1547	1608	1248	2479
