TA	Input1	Input2	Input3	Ctrl1	Ctrl2	Ctrl3	CI1	CI2	CI3	RI1	RI2	RI3
2782225	20618	13092	15508	15473	11209	19574	12236	13772	12543	17253	12372	12737
1231242	13765	8096	9183	9933	7912	12162	7463	8291	8817	11674	7266	7102
1981027	13348	7735	9541	9192	7082	11675	7222	8237	7969	10950	7016	6870
919634	11425	6151	7824	5396	3968	6971	2675	2508	2741	4788	2171	2779
3025370	11377	7139	8317	8103	6191	10625	7262	8043	7450	10515	6920	7523
3151622	9813	6057	7024	7182	5541	9351	6187	6926	5893	8058	5983	6513
1992986	9633	5491	7225	4598	3605	6849	2527	2339	2293	3910	1859	2388
294568	8817	4872	6004	4563	3731	6619	2253	2176	2657	4347	2290	2198
1349558	8615	5698	6308	6790	4799	8032	6713	7660	7324	8894	6111	6223
2485630	8465	4775	5809	4234	3426	5980	2222	2360	2318	3998	1860	2286
120902	8110	4666	5213	5337	4155	6541	4498	4643	4828	6568	4293	4014
1300484	8076	5226	5711	6131	4235	7403	4449	4814	4377	6096	4453	4171
3896739	7710	3846	4978	5698	3800	7049	3495	4294	3838	5930	3426	4026
2550423	7551	4280	5395	3784	2820	4877	2042	2304	2468	3594	1963	2270
2585400	6471	4014	4502	4395	3268	5651	3582	3996	3859	5472	3610	3551
4294579	6427	3903	4769	4023	3054	5233	3737	4009	4130	5921	3891	3791
821961	6314	3454	4287	4220	3025	5565	3316	3952	3547	5131	3178	3521
3397057	6106	3794	4378	2307	1872	3128	1497	1488	1611	2751	1398	1683
431448	5988	3134	3666	3879	2854	4697	3071	3924	3806	5171	3170	3028
1749724	5728	3698	4442	4159	3062	5106	3420	3678	3828	5050	3040	3133
2749676	5269	2995	3659	3860	2687	4284	2946	3263	3334	4561	2829	2805
1196451	5267	3474	3732	3299	2864	4581	3577	3544	2785	4337	3110	3298
3661541	5190	2946	3674	2656	1824	3188	1179	1124	1365	2237	1173	1247
576394	5115	2994	3664	4693	3452	5469	4606	5933	4748	8932	6627	7385
758401	4935	2945	3532	3456	2556	4117	2873	3179	3088	4261	2536	2682
3600898	4825	2866	3497	3379	2419	4156	2942	3175	2950	4125	2800	2769
